date,store_id,product_id,beginning_inventory,received_inventory,expiry_date,units_sold,units_expired,units_marked_down,markdown_price,markdown_date,current_stock
2023-05-03,S001,P040,0,37,2023-05-12,15,0,0,,,22
2023-05-04,S001,P040,22,0,,21,0,0,,,1
2023-05-05,S001,P040,1,13,2023-05-16,7,0,0,,,7
2023-05-06,S001,P040,7,0,,7,0,0,,,0
2023-05-08,S001,P040,0,63,2023-05-18,38,0,0,,,25
2023-05-09,S001,P040,25,0,,25,0,0,,,0
2023-05-10,S001,P040,0,116,2023-05-19,47,0,0,,,69
2023-05-11,S001,P040,69,0,,48,0,0,,,21
2023-05-12,S001,P040,21,260,2023-05-22,67,0,0,,,214
2023-05-13,S001,P040,214,0,,27,0,0,,,187
2023-05-15,S001,P040,187,0,,44,0,0,,,143
2023-05-16,S001,P040,143,0,,26,0,0,,,117
2023-05-17,S001,P040,117,0,,16,0,0,,,101
2023-05-18,S001,P040,101,0,,8,0,0,,,93
2023-05-19,S001,P040,93,109,2023-05-30,58,0,0,,,144
2023-05-20,S001,P040,144,0,,22,0,0,,,122
2023-05-22,S001,P040,122,0,,25,5,0,,,92
2023-05-23,S001,P040,92,0,,62,0,0,,,30
2023-05-24,S001,P040,30,259,2023-06-03,69,5,0,,,215
2023-05-25,S001,P040,215,0,,50,0,0,,,165
2023-05-26,S001,P040,165,0,,43,0,8,1.51,2023-05-26,122
2023-05-27,S001,P040,122,0,,94,0,0,,,28
2023-05-29,S001,P040,28,40,2023-06-07,15,0,8,1.51,2023-05-29,53
2023-05-30,S001,P040,53,0,,53,0,10,1.51,2023-05-30,0
2023-05-31,S001,P040,0,198,2023-06-11,62,4,0,,,132
2023-06-01,S001,P040,132,0,,18,0,0,,,114
2023-06-02,S001,P040,114,199,2023-06-13,70,0,0,,,243
2023-06-03,S001,P040,243,0,,77,0,0,,,166
2023-06-05,S001,P040,166,0,,74,0,0,,,92
2023-06-06,S001,P040,92,0,,13,0,0,,,79
2023-06-07,S001,P040,79,0,,31,0,0,,,48
2023-06-08,S001,P040,48,0,,48,0,0,,,0
2023-06-09,S001,P040,0,248,2023-06-18,70,0,0,,,178
2023-06-10,S001,P040,178,0,,34,5,0,,,139
2023-06-12,S001,P040,139,0,,65,0,0,,,74
2023-06-13,S001,P040,74,0,,41,5,0,,,28
2023-06-14,S001,P040,28,136,2023-06-22,72,0,0,,,92
2023-06-15,S001,P040,92,0,,36,0,0,,,56
2023-06-16,S001,P040,56,153,2023-06-26,70,0,0,,,139
2023-06-17,S001,P040,139,0,,22,0,0,,,117
2023-06-19,S001,P040,117,0,,41,0,0,,,76
2023-06-20,S001,P040,76,0,,49,0,0,,,27
2023-06-21,S001,P040,27,153,2023-06-29,71,0,0,,,109
2023-06-22,S001,P040,109,0,,54,0,0,,,55
2023-06-23,S001,P040,55,139,2023-07-04,47,0,0,,,147
2023-06-24,S001,P040,147,0,,53,0,0,,,94
2023-06-26,S001,P040,94,170,2023-07-07,57,0,5,1.51,2023-06-26,207
2023-06-27,S001,P040,207,0,,61,0,0,,,146
2023-06-28,S001,P040,146,0,,65,0,8,1.51,2023-06-28,81
2023-06-29,S001,P040,81,0,,46,0,0,,,35
2023-06-30,S001,P040,35,122,2023-07-10,72,0,0,,,85
2023-07-01,S001,P040,85,0,,74,0,0,,,11
2023-07-03,S001,P040,11,237,2023-07-12,66,0,0,,,182
2023-07-04,S001,P040,182,0,,47,0,0,,,135
2023-07-05,S001,P040,135,0,,53,0,0,,,82
2023-07-06,S001,P040,82,0,,71,0,0,,,11
2023-07-07,S001,P040,11,38,2023-07-17,18,0,0,,,31
2023-07-08,S001,P040,31,0,,31,0,0,,,0
2023-07-10,S001,P040,0,39,2023-07-19,28,0,0,,,11
2023-07-11,S001,P040,11,0,,11,0,0,,,0
2023-07-12,S001,P040,0,36,2023-07-21,22,0,0,,,14
2023-07-13,S001,P040,14,0,,14,0,0,,,0
2023-07-14,S001,P040,0,56,2023-07-25,34,0,0,,,22
2023-07-15,S001,P040,22,0,,22,0,0,,,0
2023-07-17,S001,P040,0,209,2023-07-28,58,0,0,,,151
2023-07-18,S001,P040,151,0,,59,0,0,,,92
2023-07-19,S001,P040,92,196,2023-07-28,61,0,0,,,227
2023-07-20,S001,P040,227,0,,42,0,0,,,185
2023-07-21,S001,P040,185,0,,24,0,0,,,161
2023-07-22,S001,P040,161,0,,95,0,0,,,66
2023-07-24,S001,P040,66,0,,15,0,0,,,51
2023-07-25,S001,P040,51,0,,51,0,0,,,0
2023-07-26,S001,P040,0,155,2023-08-06,55,0,0,,,100
2023-07-27,S001,P040,100,0,,55,0,0,,,45
2023-07-28,S001,P040,45,0,,10,0,0,,,35
2023-07-29,S001,P040,35,0,,34,5,0,,,0
2023-07-31,S001,P040,0,56,2023-08-10,20,0,0,,,36
2023-08-01,S001,P040,36,0,,14,0,0,,,22
2023-08-02,S001,P040,22,71,2023-08-12,22,0,0,,,71
2023-08-03,S001,P040,71,0,,57,0,0,,,14
2023-08-04,S001,P040,14,178,2023-08-13,47,0,0,,,145
2023-08-05,S001,P040,145,0,,96,0,0,,,49
2023-08-07,S001,P040,49,67,2023-08-15,31,0,0,,,85
2023-08-08,S001,P040,85,0,,19,0,0,,,66
2023-08-09,S001,P040,66,120,2023-08-20,67,0,0,,,119
2023-08-10,S001,P040,119,0,,25,0,0,,,94
2023-08-11,S001,P040,94,0,,19,0,0,,,75
2023-08-12,S001,P040,75,0,,75,0,0,,,0
2023-08-14,S001,P040,0,25,2023-08-22,12,2,0,,,11
2023-08-15,S001,P040,11,0,,11,0,0,,,0
2023-08-16,S001,P040,0,146,2023-08-24,41,0,0,,,105
2023-08-17,S001,P040,105,0,,19,0,0,,,86
2023-08-18,S001,P040,86,0,,16,2,0,,,68
2023-08-19,S001,P040,68,0,,68,0,0,,,0
2023-08-21,S001,P040,0,55,2023-08-29,17,0,0,,,38
2023-08-22,S001,P040,38,0,,38,0,4,1.51,2023-08-22,0
2023-08-23,S001,P040,0,206,2023-08-31,68,4,0,,,134
2023-08-24,S001,P040,134,0,,19,0,0,,,115
2023-08-25,S001,P040,115,153,2023-09-03,66,0,0,,,202
2023-08-26,S001,P040,202,0,,15,0,10,1.51,2023-08-26,187
2023-08-28,S001,P040,187,0,,56,0,1,1.51,2023-08-28,131
2023-08-29,S001,P040,131,0,,71,0,0,,,60
2023-08-30,S001,P040,60,0,,21,0,0,,,39
2023-08-31,S001,P040,39,0,,39,0,5,1.51,2023-08-31,0
2023-09-01,S001,P040,0,45,2023-09-11,15,0,0,,,30
2023-09-02,S001,P040,30,0,,29,0,0,,,1
2023-09-04,S001,P040,1,203,2023-09-12,60,2,0,,,142
2023-09-05,S001,P040,142,0,,76,0,0,,,66
2023-09-06,S001,P040,66,0,,35,3,0,,,28
2023-09-07,S001,P040,28,0,,28,0,0,,,0
2023-09-08,S001,P040,0,49,2023-09-18,12,0,0,,,37
2023-09-09,S001,P040,37,0,,37,0,0,,,0
2023-09-11,S001,P040,0,114,2023-09-19,52,0,0,,,62
2023-09-12,S001,P040,62,0,,54,0,3,1.51,2023-09-12,8
2023-09-13,S001,P040,8,140,2023-09-21,48,0,0,,,100
2023-09-14,S001,P040,100,0,,77,0,0,,,23
2023-09-15,S001,P040,23,99,2023-09-26,38,0,0,,,84
2023-09-16,S001,P040,84,0,,31,0,0,,,53
2023-09-18,S001,P040,53,80,2023-09-29,31,0,0,,,102
2023-09-19,S001,P040,102,0,,23,0,0,,,79
2023-09-20,S001,P040,79,0,,18,0,0,,,61
2023-09-21,S001,P040,61,0,,54,0,0,,,7
2023-09-22,S001,P040,7,106,2023-10-03,34,0,0,,,79
2023-09-23,S001,P040,79,0,,65,0,0,,,14
2023-09-25,S001,P040,14,85,2023-10-06,24,0,0,,,75
2023-09-26,S001,P040,75,0,,12,0,0,,,63
2023-09-27,S001,P040,63,0,,36,0,0,,,27
2023-09-28,S001,P040,27,0,,11,0,0,,,16
2023-09-29,S001,P040,16,86,2023-10-07,58,0,0,,,44
2023-09-30,S001,P040,44,0,,44,0,0,,,0
2023-10-02,S001,P040,0,236,2023-10-12,72,0,0,,,164
2023-10-03,S001,P040,164,0,,14,0,0,,,150
2023-10-04,S001,P040,150,0,,9,0,0,,,141
2023-10-05,S001,P040,141,0,,41,0,0,,,100
2023-10-06,S001,P040,100,229,2023-10-14,69,0,0,,,260
2023-10-07,S001,P040,260,0,,73,0,0,,,187
2023-10-09,S001,P040,187,0,,55,0,0,,,132
2023-10-10,S001,P040,132,0,,60,0,0,,,72
2023-10-11,S001,P040,72,75,2023-10-20,49,0,0,,,98
2023-10-12,S001,P040,98,0,,66,0,10,1.51,2023-10-12,32
2023-10-13,S001,P040,32,224,2023-10-23,56,0,0,,,200
2023-10-14,S001,P040,200,0,,24,0,0,,,176
2023-10-16,S001,P040,176,0,,56,2,0,,,118
2023-10-17,S001,P040,118,0,,64,0,0,,,54
2023-10-18,S001,P040,54,210,2023-10-27,70,1,0,,,193
2023-10-19,S001,P040,193,0,,19,0,4,1.51,2023-10-19,174
2023-10-20,S001,P040,174,0,,41,0,0,,,133
2023-10-21,S001,P040,133,0,,83,0,0,,,50
2023-10-23,S001,P040,50,149,2023-11-03,47,0,0,,,152
2023-10-24,S001,P040,152,0,,73,0,0,,,79
2023-10-25,S001,P040,79,123,2023-11-02,59,0,0,,,143
2023-10-26,S001,P040,143,0,,37,0,0,,,106
2023-10-27,S001,P040,106,238,2023-11-05,68,0,0,,,276
2023-10-28,S001,P040,276,0,,98,0,0,,,178
2023-10-30,S001,P040,178,0,,14,0,7,1.51,2023-10-30,164
2023-10-31,S001,P040,164,0,,46,0,1,1.51,2023-10-31,118
2023-11-01,S001,P040,118,0,,37,0,0,,,81
2023-11-02,S001,P040,81,0,,16,0,0,,,65
2023-11-03,S001,P040,65,155,2023-11-11,69,0,0,,,151
2023-11-04,S001,P040,151,0,,53,0,0,,,98
2023-11-06,S001,P040,98,198,2023-11-15,52,0,0,,,244
2023-11-07,S001,P040,244,0,,51,0,0,,,193
2023-11-08,S001,P040,193,0,,58,0,0,,,135
2023-11-09,S001,P040,135,0,,68,0,0,,,67
2023-11-10,S001,P040,67,80,2023-11-19,54,0,0,,,93
2023-11-11,S001,P040,93,0,,22,0,0,,,71
2023-11-13,S001,P040,71,119,2023-11-21,46,0,0,,,144
2023-11-14,S001,P040,144,0,,65,0,0,,,79
2023-11-15,S001,P040,79,158,2023-11-24,51,0,0,,,186
2023-11-16,S001,P040,186,0,,75,0,0,,,111
2023-11-17,S001,P040,111,91,2023-11-25,57,0,0,,,145
2023-11-18,S001,P040,145,0,,89,0,6,1.51,2023-11-18,56
2023-11-20,S001,P040,56,0,,15,5,0,,,36
2023-11-21,S001,P040,36,0,,23,0,0,,,13
2023-11-22,S001,P040,13,62,2023-12-01,24,0,0,,,51
2023-11-23,S001,P040,51,0,,11,0,0,,,40
2023-11-24,S001,P040,40,126,2023-12-05,42,0,0,,,124
2023-11-25,S001,P040,124,0,,45,0,0,,,79
2023-11-27,S001,P040,79,201,2023-12-07,69,0,0,,,211
2023-11-28,S001,P040,211,0,,40,0,0,,,171
2023-11-29,S001,P040,171,0,,15,0,0,,,156
2023-11-30,S001,P040,156,0,,54,0,0,,,102
2023-12-01,S001,P040,102,116,2023-12-09,62,0,0,,,156
2023-12-02,S001,P040,156,0,,41,0,0,,,115
2023-12-04,S001,P040,115,0,,47,0,0,,,68
2023-12-05,S001,P040,68,0,,24,0,10,1.51,2023-12-05,44
2023-12-06,S001,P040,44,164,2023-12-14,42,0,0,,,166
2023-12-07,S001,P040,166,0,,53,0,0,,,113
2023-12-08,S001,P040,113,0,,19,0,0,,,94
2023-12-09,S001,P040,94,0,,31,0,0,,,63
2023-12-11,S001,P040,63,0,,34,0,0,,,29
2023-12-12,S001,P040,29,0,,29,0,0,,,0
2023-12-13,S001,P040,0,17,2023-12-23,13,0,0,,,4
2023-12-14,S001,P040,4,0,,4,0,0,,,0
2023-12-15,S001,P040,0,112,2023-12-26,28,0,0,,,84
2023-12-16,S001,P040,84,0,,32,0,0,,,52
2023-12-18,S001,P040,52,139,2023-12-29,65,0,0,,,126
2023-12-19,S001,P040,126,0,,25,0,0,,,101
2023-12-20,S001,P040,101,0,,23,2,0,,,76
2023-12-21,S001,P040,76,0,,23,0,0,,,53
2023-12-22,S001,P040,53,73,2023-12-31,43,0,0,,,83
2023-12-23,S001,P040,83,0,,83,0,0,,,0
2023-12-25,S001,P040,0,64,2024-01-02,20,0,0,,,44
2023-12-26,S001,P040,44,0,,21,0,0,,,23
2023-12-27,S001,P040,23,32,2024-01-07,21,0,0,,,34
2023-12-28,S001,P040,34,0,,34,0,0,,,0
2023-12-29,S001,P040,0,144,2024-01-08,78,0,0,,,66
2023-12-30,S001,P040,66,0,,53,0,0,,,13
2023-01-02,S001,P026,0,56,2023-01-04,21,0,2,4.0,2023-01-02,35
2023-01-03,S001,P026,35,0,,35,0,5,4.0,2023-01-03,0
2023-01-04,S001,P026,0,123,2023-01-07,49,0,0,,,74
2023-01-05,S001,P026,74,0,,73,0,0,,,1
2023-01-06,S001,P026,1,101,2023-01-09,38,0,0,,,64
2023-01-07,S001,P026,64,0,,15,0,0,,,49
2023-01-09,S001,P026,49,0,,13,0,0,,,36
2023-01-10,S001,P026,36,0,,18,0,0,,,18
2023-01-11,S001,P026,18,162,2023-01-13,72,0,0,,,108
2023-01-12,S001,P026,108,0,,64,0,0,,,44
2023-01-13,S001,P026,44,172,2023-01-15,63,0,0,,,153
2023-01-14,S001,P026,153,0,,69,0,0,,,84
2023-01-16,S001,P026,84,0,,22,0,0,,,62
2023-01-17,S001,P026,62,0,,58,0,0,,,4
2023-01-18,S001,P026,4,159,2023-01-20,56,0,0,,,107
2023-01-19,S001,P026,107,0,,55,4,0,,,48
2023-01-20,S001,P026,48,144,2023-01-22,57,0,0,,,135
2023-01-21,S001,P026,135,0,,54,0,0,,,81
2023-01-23,S001,P026,81,0,,22,0,0,,,59
2023-01-24,S001,P026,59,0,,35,0,0,,,24
2023-01-25,S001,P026,24,156,2023-01-27,81,0,0,,,99
2023-01-26,S001,P026,99,0,,43,0,0,,,56
2023-01-27,S001,P026,56,150,2023-01-29,70,0,0,,,136
2023-01-28,S001,P026,136,0,,86,0,0,,,50
2023-01-30,S001,P026,50,163,2023-02-01,61,0,0,,,152
2023-01-31,S001,P026,152,0,,74,0,0,,,78
2023-02-01,S001,P026,78,0,,9,0,0,,,69
2023-02-02,S001,P026,69,0,,41,0,0,,,28
2023-02-03,S001,P026,28,111,2023-02-05,35,0,0,,,104
2023-02-04,S001,P026,104,0,,21,3,0,,,80
2023-02-06,S001,P026,80,114,2023-02-08,49,0,0,,,145
2023-02-07,S001,P026,145,0,,49,0,0,,,96
2023-02-08,S001,P026,96,0,,22,0,0,,,74
2023-02-09,S001,P026,74,0,,35,0,0,,,39
2023-02-10,S001,P026,39,73,2023-02-12,30,0,0,,,82
2023-02-11,S001,P026,82,0,,52,0,0,,,30
2023-02-13,S001,P026,30,89,2023-02-16,31,0,0,,,88
2023-02-14,S001,P026,88,0,,5,0,0,,,83
2023-02-15,S001,P026,83,0,,12,0,0,,,71
2023-02-16,S001,P026,71,0,,12,0,0,,,59
2023-02-17,S001,P026,59,0,,8,0,4,4.0,2023-02-17,51
2023-02-18,S001,P026,51,0,,46,0,10,4.0,2023-02-18,5
2023-02-20,S001,P026,5,148,2023-02-23,42,0,4,4.0,2023-02-20,111
2023-02-21,S001,P026,111,0,,37,0,0,,,74
2023-02-22,S001,P026,74,0,,10,0,0,,,64
2023-02-23,S001,P026,64,0,,40,0,0,,,24
2023-02-24,S001,P026,24,0,,15,0,0,,,9
2023-02-25,S001,P026,9,0,,9,0,0,,,0
2023-02-27,S001,P026,0,147,2023-03-01,38,0,0,,,109
2023-02-28,S001,P026,109,0,,42,0,0,,,67
2023-03-01,S001,P026,67,127,2023-03-04,53,5,0,,,136
2023-03-02,S001,P026,136,0,,51,0,0,,,85
2023-03-03,S001,P026,85,0,,30,0,0,,,55
2023-03-04,S001,P026,55,0,,39,0,0,,,16
2023-03-06,S001,P026,16,67,2023-03-08,27,4,0,,,52
2023-03-07,S001,P026,52,0,,39,0,0,,,13
2023-03-08,S001,P026,13,45,2023-03-11,21,0,0,,,37
2023-03-09,S001,P026,37,0,,36,0,0,,,1
2023-03-10,S001,P026,1,150,2023-03-12,48,0,10,4.0,2023-03-10,103
2023-03-11,S001,P026,103,0,,77,0,0,,,26
2023-03-13,S001,P026,26,114,2023-03-15,44,0,0,,,96
2023-03-14,S001,P026,96,0,,52,0,0,,,44
2023-03-15,S001,P026,44,0,,6,0,0,,,38
2023-03-16,S001,P026,38,0,,20,0,0,,,18
2023-03-17,S001,P026,18,64,2023-03-19,28,0,0,,,54
2023-03-18,S001,P026,54,0,,22,0,0,,,32
2023-03-20,S001,P026,32,72,2023-03-23,47,0,1,4.0,2023-03-20,57
2023-03-21,S001,P026,57,0,,11,0,0,,,46
2023-03-22,S001,P026,46,0,,17,0,2,4.0,2023-03-22,29
2023-03-23,S001,P026,29,0,,29,0,9,4.0,2023-03-23,0
2023-03-24,S001,P026,0,69,2023-03-26,27,0,0,,,42
2023-03-25,S001,P026,42,0,,37,0,0,,,5
2023-03-27,S001,P026,5,106,2023-03-30,49,0,8,4.0,2023-03-27,62
2023-03-28,S001,P026,62,0,,52,0,0,,,10
2023-03-29,S001,P026,10,26,2023-04-01,11,0,0,,,25
2023-03-30,S001,P026,25,0,,23,0,0,,,2
2023-03-31,S001,P026,2,111,2023-04-03,51,0,0,,,62
2023-04-01,S001,P026,62,0,,62,0,0,,,0
2023-04-03,S001,P026,0,97,2023-04-06,49,0,0,,,48
2023-04-04,S001,P026,48,0,,41,0,0,,,7
2023-04-05,S001,P026,7,45,2023-04-08,24,0,0,,,28
2023-04-06,S001,P026,28,0,,28,0,0,,,0
2023-04-07,S001,P026,0,34,2023-04-10,18,0,0,,,16
2023-04-08,S001,P026,16,0,,16,0,0,,,0
2023-04-10,S001,P026,0,19,2023-04-12,7,0,0,,,12
2023-04-11,S001,P026,12,0,,12,0,0,,,0
2023-04-12,S001,P026,0,10,2023-04-14,10,0,1,4.0,2023-04-12,0
2023-04-13,S001,P026,0,0,,0,0,0,,,0
2023-04-14,S001,P026,0,69,2023-04-17,30,0,0,,,39
2023-04-15,S001,P026,39,0,,25,0,0,,,14
2023-04-17,S001,P026,14,104,2023-04-20,31,0,0,,,87
2023-04-18,S001,P026,87,0,,25,0,0,,,62
2023-04-19,S001,P026,62,0,,20,2,6,4.0,2023-04-19,40
2023-04-20,S001,P026,40,0,,39,0,6,4.0,2023-04-20,1
2023-04-21,S001,P026,1,134,2023-04-24,45,0,0,,,90
2023-04-22,S001,P026,90,0,,66,0,0,,,24
2023-04-24,S001,P026,24,0,,4,0,0,,,20
2023-04-25,S001,P026,20,0,,12,0,0,,,8
2023-04-26,S001,P026,8,10,2023-04-29,3,0,0,,,15
2023-04-27,S001,P026,15,0,,11,0,0,,,4
2023-04-28,S001,P026,4,135,2023-04-30,40,0,0,,,99
2023-04-29,S001,P026,99,0,,61,0,0,,,38
2023-05-01,S001,P026,38,0,,9,0,0,,,29
2023-05-02,S001,P026,29,0,,6,0,0,,,23
2023-05-03,S001,P026,23,46,2023-05-06,17,0,0,,,52
2023-05-04,S001,P026,52,0,,32,0,2,4.0,2023-05-04,20
2023-05-05,S001,P026,20,103,2023-05-07,51,0,0,,,72
2023-05-06,S001,P026,72,0,,55,0,4,4.0,2023-05-06,17
2023-05-08,S001,P026,17,17,2023-05-10,10,0,0,,,24
2023-05-09,S001,P026,24,0,,24,0,0,,,0
2023-05-10,S001,P026,0,69,2023-05-12,44,0,0,,,25
2023-05-11,S001,P026,25,0,,20,0,0,,,5
2023-05-12,S001,P026,5,51,2023-05-14,30,0,0,,,26
2023-05-13,S001,P026,26,0,,26,0,0,,,0
2023-05-15,S001,P026,0,51,2023-05-17,29,0,0,,,22
2023-05-16,S001,P026,22,0,,22,0,0,,,0
2023-05-17,S001,P026,0,93,2023-05-19,36,4,0,,,53
2023-05-18,S001,P026,53,0,,5,0,0,,,48
2023-05-19,S001,P026,48,0,,26,0,0,,,22
2023-05-20,S001,P026,22,0,,15,1,0,,,6
2023-05-22,S001,P026,6,38,2023-05-24,10,0,0,,,34
2023-05-23,S001,P026,34,0,,33,0,0,,,1
2023-05-24,S001,P026,1,103,2023-05-27,24,2,0,,,78
2023-05-25,S001,P026,78,0,,40,0,0,,,38
2023-05-26,S001,P026,38,0,,21,0,3,4.0,2023-05-26,17
2023-05-27,S001,P026,17,0,,15,0,0,,,2
2023-05-29,S001,P026,2,18,2023-06-01,13,0,4,4.0,2023-05-29,7
2023-05-30,S001,P026,7,0,,7,0,0,,,0
2023-05-31,S001,P026,0,120,2023-06-03,44,0,0,,,76
2023-06-01,S001,P026,76,0,,37,0,0,,,39
2023-06-02,S001,P026,39,96,2023-06-05,34,0,0,,,101
2023-06-03,S001,P026,101,0,,30,0,0,,,71
2023-06-05,S001,P026,71,0,,14,0,8,4.0,2023-06-05,57
2023-06-06,S001,P026,57,0,,9,0,0,,,48
2023-06-07,S001,P026,48,40,2023-06-10,25,0,0,,,63
2023-06-08,S001,P026,63,0,,31,0,0,,,32
